;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Jhen Kodachi;;p;1
Jhen Kodachi;;p;2
Jhen Kodachi;;p;3
Jhen Kodachi;;p;4
Jhen Kodachi;;p;5
Chak Chak;;p;1
Chak Chak;;p;2
Chak Chak;;p;3
Chak Chak;;p;4
Chak Chak;;p;5
Filo oculto;;p;1
Filo oculto;;p;2
Filo oculto;;p;3
Filo oculto;;p;4
Filo oculto;;p;5
Explosión maestra;;p;1
Explosión maestra;;p;2
Explosión maestra;;p;3
Explosión maestra;;p;4
Explosión maestra;;p;5
Falcata de oro;;p;1
Falcata de oro;;p;2
Falcata de oro;;p;3
Falcata de oro;;p;4
Falcata de oro;;p;5
Filo helado;;p;1
Filo helado;;p;2
Filo helado;;p;3
Filo helado;;p;4
Filo helado;;p;5
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Hacha guerra venen.;;p;1
Hacha guerra venen.;;p;2
Hacha guerra venen.;;p;3
Hacha guerra venen.;;p;4
Hacha guerra venen.;;p;5
Espada maléfica;;p;1
Espada maléfica;;p;2
Espada maléfica;;p;3
Espada maléfica;;p;4
Espada maléfica;;p;5
