;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera de cazador;;p;
Cota de cazador;;p;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Faja de aleación;;p;
Cota de aleación;;p;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera de Ludroth;;p;
Cota de Ludroth;;p;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera de Rathian;;p;
Cota de Rathian;;p;
Faja corazón Rath;;p;
Cota corazón Rath;;p;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera de Rathalos;;p;
Cota de Rathalos;;p;
Faja de alma de Rath;;p;
Cota de alma de Rath;;p;
Faja sol de plata;;p;
Cota sol de plata;;p;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera voraz;;p;
Cota voraz;;p;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Cinto del ocaso;;p;m
Cinto tenaz;;p;f
Cinto del alba;;p;m
Cinto de época;;p;f
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera de Tigrex;;p;
Cota de Tigrex;;p;
Muslera de Tigrex U;;p;
Cota de Tigrex U;;p;
;;;
;;;
;;;
;;;
;;;
;;;
Cincho de Akantor;;p;
Fajín de Akantor;;p;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera de Zinogre U;;p;
Cota de Zinogre U;;p;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera de Gore;;p;
Cota de Gore;;p;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera de Gypceros;;p;
Cota de Gypceros;;p;
Muslera Gypceros U;;p;
Cota de Gypceros U;;p;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Muslera de Khezu;;p;
Cota de Khezu;;p;
Muslera de Khezu U;;p;
Cota de Khezu U;;p;
;;;
;;;
;;;
;;;
;;;
;;;
Aro de Kirin;;p;
Calzoncillos Kirin;;p;
Aro de Kirin U;;p;
Calzoncillos Kirin U;;p;
;;;
;;;
;;;
;;;
Rollo de Kushala;;p;
Cinta viento Kushala;;p;
;;;
;;;
;;;
;;;
Muslera de Ceanataur;;p;
Cota de Ceanataur;;p;
;;;
;;;
;;;
;;;
Muslera de Auroros;;p;m
Muslera de Borealis;;p;f
Muslera de Génesis;;p;m
Muslera de Glifo;;p;f
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
